Total Snow Fall (x),Maximum Snow Depth,monthly mean maximum temperature,Number of Days Max Temp -< 32F,Number of Days Min Temp -< 32F,Extreme Maximum Daily Temperature,total precipitation
460,483,-23,20,31,72,417
354,381,-12,14,28,44,337
127,305,64,1,27,128,642
0,0,135,0,11,267,733
51,102,31,3,7,128,46
160,178,-43,6,6,-28,105
360,330,-49,26,29,50,186
698,787,-42,25,28,56,739
558,762,23,10,29,94,860
305,610,98,0,21,189,611
64,76,86,3,17,156,353
367,178,-1,16,29,106,963
559,356,-39,25,31,67,623
545,610,-9,14,29,44,338
318,610,71,7,24,244,308
102,102,121,0,18,239,973
50,25,37,6,24,156,285
667,457,-20,20,29,89,945
206,457,-42,22,29,122,563
548,432,-25,21,28,50,572
659,584,29,5,28,100,613
25,0,100,1,18,222,358
76,51,46,5,25,172,924
810,533,-61,27,31,61,669
266,406,-53,21,30,78,859
399,508,-40,18,24,56,405
724,940,-19,16,30,28,407
203,940,95,0,22,167,643
203,152,27,9,24,133,229
635,330,-19,17,27,56,330
152,203,-89,5,5,-22,3
